Player,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Sam Hauser,12.8,0.632,14.3,2.6,1.8,4.4,0.136,0.9,-0.1,0.8,1.1
Ziaire Williams,11.9,0.55,18.2,0.5,1.6,2.1,0.065,-2.2,-0.1,-2.3,-0.1
Gabe Vincent,7.4,0.536,13.5,0.3,1,1.3,0.039,-3.8,-0.1,-4,-0.8
Victor Wembanyama,24.2,0.594,30.4,1,2.8,3.8,0.118,3.6,2.9,6.5,3.3
Jerami Grant,10.9,0.523,19.4,0.6,1.2,1.8,0.057,-1.4,-0.3,-1.6,0.1
Jonas Valanciunas,20.8,0.602,22.8,2.6,1.7,4.3,0.137,0.8,-0.1,0.6,1
Jonas Valanciunas,20.6,0.602,23.8,1.3,1,2.3,0.112,0.8,-0.5,0.4,0.6
Jonas Valanciunas,21.1,0.604,20.9,1.3,0.7,2.1,0.183,0.6,0.5,1.1,0.4
Kyle Filipowski,14.9,0.594,18.7,1.5,1,2.5,0.078,-0.6,-0.3,-1,0.4
Ja Morant,19.3,0.563,32.2,2,1.5,3.5,0.112,3.1,-0.7,2.4,1.7
Matas Buzelis,12.5,0.571,18.7,0.5,1.4,1.9,0.06,-2,-0.5,-2.5,-0.2
LaMelo Ball,19.1,0.536,35.9,0.9,1.1,2,0.065,4.1,-0.9,3.2,2
Dalton Knecht,12.7,0.594,18.5,1.7,1,2.7,0.086,-0.1,-1.7,-1.8,0.1
Kevin Porter Jr.,15.4,0.531,25.4,-0.1,2.3,2.2,0.072,-1.6,0.9,-0.6,0.5
Kevin Porter Jr.,12.1,0.476,25.9,-1.2,1.4,0.2,0.011,-3.2,0.7,-2.5,-0.1
Kevin Porter Jr.,20.2,0.616,24.8,1.1,0.9,2,0.163,0.9,1.2,2.1,0.6
D'Angelo Russell,14,0.522,24,0.7,1.3,1.9,0.063,0,-0.4,-0.4,0.6
D'Angelo Russell,13,0.537,22.1,0.4,0.6,1,0.063,-0.7,-1,-1.7,0.1
D'Angelo Russell,15.1,0.508,25.9,0.2,0.7,0.9,0.063,0.8,0.2,1,0.5
Lauri Markkanen,15.6,0.571,24,1.8,0.3,2.2,0.07,1.8,-2.1,-0.3,0.7
Luke Kennard,13.6,0.631,14.5,2.6,1.3,3.9,0.127,0.9,0.2,1.1,1.2
Jamal Shead,9.9,0.499,18.6,-0.2,1.1,0.8,0.027,-3.2,-0.9,-4.1,-0.8
Aaron Gordon,17,0.65,19,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2
Isaiah Stewart,14.6,0.616,12.4,2.1,2.2,4.3,0.144,-1.6,2.1,0.6,0.9
Brice Sensabaugh,13.4,0.612,21.5,0.9,0.3,1.2,0.042,0.4,-1.6,-1.2,0.3
Goga Bitadze,19.2,0.631,14.3,2.8,3,5.8,0.195,-0.3,2.8,2.5,1.6
Kel'el Ware,17.4,0.603,17.2,1.7,2.5,4.1,0.14,-0.7,0.6,-0.1,0.7
Tari Eason,18.5,0.567,19.4,2.1,2.9,5,0.169,1,2.6,3.6,2
Zach Edey,18.2,0.624,16.4,2.7,2.2,4.9,0.165,-0.2,0.1,-0.1,0.7
T.J. McConnell,18.4,0.547,23.4,1.5,1.7,3.2,0.109,0.6,0.6,1.2,1.2
Terance Mann,12,0.584,14.7,1.7,1.3,3,0.101,-1.4,0,-1.3,0.2
Terance Mann,10.5,0.533,14,0.4,1,1.4,0.093,-2.5,1.2,-1.3,0.1
Terance Mann,13.7,0.629,15.4,1.3,0.3,1.6,0.111,-0.1,-1.2,-1.3,0.1
Ryan Dunn,10.7,0.517,16.7,0.2,0.7,1,0.034,-2.9,-1.2,-4.1,-0.7
Sam Merrill,11.1,0.583,14.3,1.8,1.5,3.3,0.113,-0.4,0.7,0.3,0.8
Ayo Dosunmu,12.8,0.585,16.6,1.6,1,2.5,0.087,-1.4,-0.2,-1.6,0.1
Ty Jerome,21,0.643,23.6,4.2,1.8,5.9,0.204,3.5,0.8,4.3,2.2
Julian Strawther,9.5,0.559,17.8,0.5,0.8,1.3,0.043,-3.1,-1.4,-4.5,-0.9
Nick Smith Jr.,8.3,0.502,20.8,-0.9,0.3,-0.5,-0.019,-3.2,-2.6,-5.7,-1.3
Jaime Jaquez Jr.,14.3,0.543,20.2,0.5,1.8,2.3,0.081,-1.4,0.5,-0.9,0.4
Nicolas Batum,10.3,0.633,9,1.5,2,3.5,0.124,-1.2,2,0.8,1
Jose Alvarado,13.4,0.523,19.8,0.7,0.5,1.2,0.043,-0.6,-0.8,-1.4,0.2
Jeremy Sochan,15.9,0.589,19,1.7,1.1,2.7,0.096,-0.8,-0.4,-1.2,0.3
Luke Kornet,19.6,0.683,11.4,4.8,2.2,7,0.246,1.6,1.7,3.3,1.8
Trey Lyles,12.3,0.551,14.3,1.3,1.2,2.6,0.091,-0.4,-0.3,-0.7,0.4
Jake LaRavia,12.6,0.591,14.4,1.4,1.5,2.9,0.104,-0.8,1.1,0.2,0.8
Jake LaRavia,13.5,0.605,14.5,1.2,1.2,2.4,0.119,-0.2,1.5,1.3,0.8
Jake LaRavia,10.2,0.551,14.2,0.2,0.3,0.5,0.063,-2.5,-0.2,-2.7,-0.1
Bogdan Bogdanovic,11.1,0.559,18.7,0.7,1.2,1.9,0.069,-1.8,-0.2,-2,0
Bogdan Bogdanovic,7.6,0.502,18.9,-0.4,0.4,-0.1,-0.006,-4.1,-0.6,-4.7,-0.4
Bogdan Bogdanovic,14,0.608,18.6,1.1,0.9,2,0.128,0.1,0.1,0.2,0.4
Justin Champagnie,15.7,0.614,15.6,1.6,1.2,2.8,0.1,-0.3,-0.2,-0.5,0.5
Paul George,14.5,0.543,23.5,-0.2,1.2,1,0.036,-0.5,0.1,-0.4,0.5
Ausar Thompson,17.2,0.568,19.1,1.5,2.4,3.8,0.138,-0.8,2.5,1.7,1.2
Donovan Clingan,17.4,0.574,14.2,1.8,2.2,4,0.144,-1.7,1.4,-0.3,0.6
Jordan Hawkins,9.6,0.504,21,-0.7,0.1,-0.5,-0.02,-2.4,-3,-5.4,-1.2
Tyrese Martin,10.9,0.533,18.8,0,0.9,0.9,0.033,-1.4,-1.2,-2.6,-0.2
Mason Plumlee,14.8,0.645,10.8,2.4,1.3,3.7,0.136,-1.5,1,-0.6,0.5
Jonathan Mogbo,11.9,0.496,15,0.3,1.6,1.9,0.071,-2.9,1,-1.9,0
